Index,Answer
1,dksn?W Start Game Options Quit 
2,DFD BaSE ComNg BOON 
3,A PIXELATED BLAcKLETTER FONT FILE visit DUY DOWNLOAD Blackbit AS ANGIN STudIo 2023 
4,0 CHERRY BULLET VLOG 'CHERBY LoG0 COIING SOOnI 2018012612 OPEN 10 PLAYERS LoG IJ LOADING @ 2018 CHERRY BULLET 63 
5,DOA'T BE A QAkE 1 BE 9 good HWMAN. STAND SIX FEET APART . #brzee 
6,GoldHish WE COME TOGEtHERI PRESS START Fishutendo Z0l1 
7,RETROPIR 
8,# Z7 3 758 24585 EAiIne 52 ! 6 FpWN = 1000 E 2 iii PRESS START Tr LS 
9,TreprS Start SQuNP> Menu SettiNgS 
10,521380 TCE a OCt03=? 30o YWU RATTL 
11,8のハ島 留迎 島 _山」 に心〕 ド」 ご三三じ丁 こ丁 丁 じりざぶい川 
12,# 
13,瀬中爪 【川 ロは51・》 ゆ 処歌 恋来永:廻 @だ 29の0~み'。ッ旦【 -んは爪越ら! 愛ッめの @ 
14,〔 
15,"『じひ紀き 郎ぶじ おはょう 7 「章川ヒ日リ由リ二。 日ソ5下巨尺 日05川 さ""ッ・ら|タ、・""・さり・ッこ "
16,@盤 々日月日史口 回爪回刀目 
